"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0003500008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
21/03/2025;8062.27;8075.44;8010.26;8042.95;8042.95;0;0;8938291572;
20/03/2025;8164.09;8167.48;8062.14;8094.20;8094.20;0;0;4012138465;
19/03/2025;8104.66;8181.85;8096.50;8171.47;8171.47;0;0;3961146567;
18/03/2025;8100.89;8140.09;8090.63;8114.57;8114.57;0;0;4571652246;
17/03/2025;8034.23;8087.60;8010.71;8073.98;8073.98;0;0;3872824602;
14/03/2025;7924.22;8044.44;7916.58;8028.28;8028.28;0;0;4842936289;
13/03/2025;7983.57;8032.65;7927.83;7938.21;7938.21;0;0;4814578739;
12/03/2025;8006.04;8072.45;7938.85;7988.96;7988.96;0;0;5009054377;
11/03/2025;8092.02;8111.22;7921.05;7941.91;7941.91;0;0;5601893771;
10/03/2025;8161.53;8174.59;8039.36;8047.60;8047.60;0;0;6083583446;
07/03/2025;8163.30;8177.85;8066.15;8120.80;8120.80;0;0;6226247078;
06/03/2025;8226.19;8229.44;8103.54;8197.67;8197.67;0;0;6553200719;
05/03/2025;8174.08;8245.24;8151.47;8173.75;8173.75;0;0;6288930682;
04/03/2025;8112.13;8136.27;8001.15;8047.92;8047.92;0;0;6073281827;
03/03/2025;8139.13;8257.88;8087.31;8199.71;8199.71;0;0;5299534453;
28/02/2025;8047.04;8111.63;8031.48;8111.63;8111.63;0;0;7529624238;
27/02/2025;8104.23;8136.86;8048.27;8102.52;8102.52;0;0;4425980344;
26/02/2025;8103.73;8169.35;8084.05;8143.92;8143.92;0;0;4503489178;
25/02/2025;8065.36;8107.11;8043.13;8051.07;8051.07;0;0;4209948121;
24/02/2025;8138.86;8150.64;8064.67;8090.99;8090.99;0;0;3803590269;
21/02/2025;8138.24;8180.72;8126.87;8154.51;8154.51;0;0;4955367542;
20/02/2025;8140.78;8172.76;8107.31;8122.58;8122.58;0;0;4194616728;
19/02/2025;8205.44;8208.67;8097.14;8110.54;8110.54;0;0;4282407999;
18/02/2025;8205.94;8225.13;8160.61;8206.56;8206.56;0;0;4169329469;
17/02/2025;8181.40;8199.04;8165.90;8189.13;8189.13;0;0;3190175354;
14/02/2025;8164.62;8212.64;8155.45;8178.54;8178.54;0;0;4920473787;
13/02/2025;8120.81;8176.12;8091.42;8164.11;8164.11;0;0;5420263660;
12/02/2025;8039.61;8067.07;7984.72;8042.19;8042.19;0;0;4500482386;
11/02/2025;8013.01;8037.24;7995.65;8028.90;8028.90;0;0;3477241365;
10/02/2025;7977.76;8014.13;7971.15;8006.22;8006.22;0;0;3664052407;
07/02/2025;7998.38;8027.05;7954.90;7973.03;7973.03;0;0;4421699514;
06/02/2025;7918.36;8024.88;7906.36;8007.62;8007.62;0;0;5024946606;
05/02/2025;7888.60;7900.71;7858.22;7891.68;7891.68;0;0;3457275040;
04/02/2025;7870.29;7915.53;7808.11;7906.40;7906.40;0;0;4017076416;
03/02/2025;7786.32;7875.58;7785.87;7854.92;7854.92;0;0;4485759104;
31/01/2025;7954.43;7996.41;7928.84;7950.17;7950.17;0;0;4429676741;
30/01/2025;7904.47;7951.85;7889.22;7941.64;7941.64;0;0;3773363025;
29/01/2025;7874.72;7891.59;7848.76;7872.48;7872.48;0;0;3919587907;
28/01/2025;7899.28;7955.46;7879.33;7897.37;7897.37;0;0;4087940993;
27/01/2025;7873.70;7928.41;7844.41;7906.58;7906.58;0;0;4685758436;
24/01/2025;7958.92;7988.85;7904.17;7927.62;7927.62;0;0;3938273486;
23/01/2025;7851.40;7896.97;7829.40;7892.61;7892.61;0;0;3771307184;
22/01/2025;7783.30;7873.98;7773.64;7837.40;7837.40;0;0;3915540359;
21/01/2025;7724.34;7774.76;7713.26;7770.95;7770.95;0;0;3193421761;
20/01/2025;7722.12;7766.24;7707.29;7733.50;7733.50;0;0;3194351505;
17/01/2025;7685.04;7732.32;7667.85;7709.75;7709.75;0;0;4593769634;
16/01/2025;7591.35;7634.74;7567.67;7634.74;7634.74;0;0;4599038405;
15/01/2025;7447.39;7514.91;7415.52;7474.59;7474.59;0;0;4382236287;
14/01/2025;7481.95;7499.77;7423.49;7423.67;7423.67;0;0;3485910251;
13/01/2025;7409.56;7424.51;7353.05;7408.64;7408.64;0;0;2795280068;
10/01/2025;7495.21;7521.22;7417.59;7431.04;7431.04;0;0;3285496659;
09/01/2025;7421.20;7504.11;7413.15;7490.28;7490.28;0;0;2500231780;
08/01/2025;7489.20;7496.51;7396.68;7452.42;7452.42;0;0;3230944860;
07/01/2025;7451.34;7516.95;7417.42;7489.35;7489.35;0;0;3621209268;
06/01/2025;7313.36;7454.87;7304.47;7445.69;7445.69;0;0;3842724296;
03/01/2025;7387.97;7387.97;7270.57;7282.22;7282.22;0;0;2992772685;
02/01/2025;7374.59;7399.25;7285.30;7393.76;7393.76;0;0;2653848504;
